"MUT1"	"MUT2"	"MUT3"	"MUT4"	"WT1"	"WT2"	"WT3"	"WT4"
"Acvr1"	292.205030333789	301.373450819951	281.156891358416	299.645706518108	318.978987544013	352.500732499096	308.082640164727	328.123710879888
"Acvr1b"	412.524748706525	408.930760123184	399.892470975915	428.525580289337	435.512644326759	402.119603935919	405.932786883713	381.71411638176
"Acvr2a"	765.844556626466	782.719033048281	739.297005165557	728.171286807444	751.93979997042	750.485430481947	795.395747091953	776.590788500823
"Acvr2b"	292.205030333789	310.957765510338	304.679977886411	300.719705466201	240.722809266548	225.352374442238	281.924680150741	319.662067905908
"Acvrl1"	152.78694396538	166.128121300043	109.77440379731	164.321839058317	191.387392526408	147.822887822202	159.854200085472	146.668478215652
"Acy1"	228.225497548286	202.335532352617	217.308513639573	208.355795930154	186.283728725704	221.217468489169	208.294866778039	217.182169665484
"Acy3"	88.807411179877	87.3237560679715	108.654256819786	107.399894809358	86.7622846119715	100.271469361913	105.600653389796	69.5735088971682
"Acyp1"	169.020556761701	144.829644210294	127.696755437687	142.841860096446	148.856860853873	143.687981869133	136.602680073039	130.685374820356
"Acyp2"	65.88936958507	67.0902028327098	58.2476428312257	74.1059274184567	72.3019038433096	77.5294866200359	78.4738800419588	55.4707706072016
"Ada"	38.1967359913449	42.5969541794983	50.4066139885607	40.8119600275559	44.2317529394365	48.5851449485558	44.5654133571618	52.6502229492083
"Adal"	247.323865543958	234.283247987241	276.676303448322	258.833746490552	227.113039131337	218.116289024368	252.860280135201	251.968924114068
"Adam10"	3917.07527591242	3952.99734785744	3888.03015898431	3853.50822575975	3849.86372699787	3641.81841816515	3947.91433544422	3646.02793923268
"Adam11"	184.299251158239	199.140760789155	201.626455954243	222.31778225537	161.616020355633	195.37430628249	218.951813450404	221.883082428807
"Adam12"	308.43864313011	347.165176562911	259.874098785468	372.677634988471	465.284016497534	397.984697982851	348.772800186484	371.372108302452
"Adam15"	354.274726319724	375.918120634073	300.199389976317	318.977687583792	369.165014917604	358.703091428699	322.614840172497	344.106814275183
"Adam17"	1072.37336295701	1076.63801688682	1019.33374954645	1070.77695124929	1137.26641692359	1161.90857281227	1059.88178723337	1078.38938790611
"Adam19"	1050.41023976199	1134.14390502914	1119.02683054605	1310.27871667416	1269.9616757419	1248.74159782671	1284.64648068688	1249.50261249103
